Rank,Name,Server,Region,Date,Duration,ReportID,ReportLink,HPS,HasteSummary,HasteGear,Spirit,Intellect,TotalHealers,nDruid,nPaladin,nHPriest,nDPriest,nShaman,RaidDamageTakenPerSecond,VampiricTouch,InnervateCount,Bloodlust,NaturesGrace,Trinket1,Trinket2,LifebloomUptime,LifebloomHPS,LifebloomPercentHPS,RejuvenationHPS,RejuvenationPercentHPS,RegrowthHPS,RegrowthPercentHPS,Rotation1,Rotation1Percent,Rotation2,Rotation2Percent,TankRotationPercent,RotatingOnTank
1,荷西,寒脊山小径,CN,2022-07-07 23:42:38,1m 41s,C4Zh2AWQKdwaqXGr,https://classic.warcraftlogs.com/reports/C4Zh2AWQKdwaqXGr?fight=47&source=19&type=healing,3941.22,299,299,788,662,6,1,1,0,1,3,15114.41,Yes,1,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,27.28,132.73,3.37,48.23,1.22,3449.79,87.53,[0LB 0I 5RG],46.67,[0LB 1I 4RG],26.67,0.0,No
2,我是小熊,辛迪加,CN,2022-07-23 08:00:40,1m 26s,RmVt4cnax1k9HrQf,https://classic.warcraftlogs.com/reports/RmVt4cnax1k9HrQf?fight=19&source=10&type=healing,3939.59,269,269,881,687,5,1,0,0,1,3,14967.79,Yes,1,No,Yes,Direbrew Hops,Redeemer's Alchemist Stone,72.54,376.73,9.56,14.09,0.36,2506.03,63.61,[0LB 1I 4RG],21.43,[0LB 2I 3RG],14.29,21.43,No
3,尔丶晴,辛迪加,CN,2022-08-16 11:30:57,1m 20s,6ZCx13rKbPhTL9jY,https://classic.warcraftlogs.com/reports/6ZCx13rKbPhTL9jY?fight=23&source=9&type=healing,3799.7,258,258,948,696,5,1,0,0,1,3,13888.97,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,58.7,270.97,7.13,102.11,2.69,3080.24,81.07,[0LB 0I 5RG],21.43,[0LB 1I 3RG],14.29,35.71,No
4,告白气球,布鲁,CN,2022-08-15 22:02:57,1m 25s,xwvgKr9H6NWbtkZT,https://classic.warcraftlogs.com/reports/xwvgKr9H6NWbtkZT?fight=30&source=6&type=healing,3750.71,299,299,755,666,7,1,1,1,1,3,15146.1,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,69.94,381.54,10.17,99.39,2.65,3033.4,80.88,[0LB 1I 4RG],28.57,[0LB 2I 3RG],21.43,14.29,No
5,毛毛姐,德姆塞卡尔,CN,2022-07-09 08:37:34,1m 26s,nJtAFZKRC4wGX2DT,https://classic.warcraftlogs.com/reports/nJtAFZKRC4wGX2DT?fight=36&source=17&type=healing,3577.53,305,305,691,709,5,1,1,0,1,2,13021.5,Yes,0,Yes,Yes,Memento of Tyrande,Scarab of the Infinite Cycle,63.05,296.77,8.3,0,0.0,3039.43,84.96,[0LB 1I 4RG],30.77,[0LB 0I 5RG],23.08,7.69,No
6,啵啵球,哈霍兰,CN,2022-07-05 07:20:20,1m 29s,7RjnQtVJXL4YBkbP,https://classic.warcraftlogs.com/reports/7RjnQtVJXL4YBkbP?fight=22&source=1&type=healing,3575.95,301,301,764,684,7,1,1,1,1,3,13478.52,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,38.34,219.32,6.13,124.72,3.49,2907.5,81.31,[0LB 0I 5RG],40.0,[1LB 1I 0RG],13.33,20.0,No
7,丶千面修罗,碧玉矿洞,CN,2022-07-03 11:42:14,1m 7s,TXAPw8qcH3RKQYxd,https://classic.warcraftlogs.com/reports/TXAPw8qcH3RKQYxd?fight=48&source=28&type=healing,3574.5,261,261,783,675,6,1,1,1,0,3,11118.0,Yes,0,Yes,Yes,Bangle of Endless Blessings,Redeemer's Alchemist Stone,63.63,276.98,7.75,0,0.0,2680.24,74.98,[0LB 0I 5RG],40.0,[0LB 1I 4RG],20.0,10.0,No
8,木牧酱,布鲁,CN,2022-07-21 09:11:19,1m 23s,AdX62Q3avLDJj81f,https://classic.warcraftlogs.com/reports/AdX62Q3avLDJj81f?fight=41&source=27&type=healing,3572.91,217,217,991,643,5,1,1,1,1,1,12948.2,Yes,0,Yes,Yes,Darkmoon Card: Blue Dragon,Memento of Tyrande,44.33,121.17,3.39,163.69,4.58,3125.99,87.49,[0LB 2I 3RG],23.08,[0LB 0I 5RG],23.08,15.38,No
9,我爱吃鸡翅膀,帕奇维克,CN,2022-08-19 07:44:21,1m 38s,tjTMbm27dZxAvcWJ,https://classic.warcraftlogs.com/reports/tjTMbm27dZxAvcWJ?fight=26&source=2&type=healing,3514.53,421,421,751,664,6,1,1,1,1,2,15426.37,Yes,1,No,Yes,Redeemer's Alchemist Stone,Darkmoon Card: Blue Dragon,52.44,193.85,5.52,232.63,6.62,2957.1,84.14,[0LB 0I 5RG],26.67,[1LB 1I 3RG],13.33,20.0,No
10,丨小菠萝丨,怀特迈恩,CN,2022-06-16 09:55:36,1m 35s,RmxrLZQnvqaHNgVP,https://classic.warcraftlogs.com/reports/RmxrLZQnvqaHNgVP?fight=12&source=3&type=healing,3512.61,145,145,796,679,7,1,1,1,0,4,13085.1,Yes,0,Yes,Yes,Redeemer's Alchemist Stone,Darkmoon Card: Blue Dragon,42.47,105.51,3.0,169.44,4.82,2977.37,84.76,[0LB 0I 5RG],30.77,[0LB 2I 3RG],23.08,0.0,No
