Rank,Name,Server,Region,Date,Duration,ReportID,ReportLink,HPS,HasteSummary,HasteGear,Spirit,Intellect,TotalHealers,nDruid,nPaladin,nHPriest,nDPriest,nShaman,RaidDamageTakenPerSecond,VampiricTouch,InnervateCount,Bloodlust,NaturesGrace,Trinket1,Trinket2,LifebloomUptime,LifebloomHPS,LifebloomPercentHPS,RejuvenationHPS,RejuvenationPercentHPS,RegrowthHPS,RegrowthPercentHPS,Rotation1,Rotation1Percent,Rotation2,Rotation2Percent,TankRotationPercent,RotatingOnTank
1,阿基蕾拉,碧空之歌,CN,2022-07-21 07:25:19,1m 31s,rdzWfcX1V7QDwhPN,https://classic.warcraftlogs.com/reports/rdzWfcX1V7QDwhPN?fight=20&source=12&type=healing,3926.26,253,253,715,635,6,1,1,0,1,3,15057.64,Yes,1,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,0,0,0.0,48.17,1.23,3428.2,87.31,[0LB 0I 5RG],66.67,[0LB 0I 4RG],16.67,0.0,No
2,氢硫化钠,奥罗,CN,2022-07-18 08:33:57,1m 22s,ZgMwBWX6rc1TzvnV,https://classic.warcraftlogs.com/reports/ZgMwBWX6rc1TzvnV?fight=28&source=21&type=healing,3887.41,488,488,691,660,6,1,1,0,1,3,14643.46,Yes,2,No,Yes,Redeemer's Alchemist Stone,Shifting Naaru Sliver,0,0,0.0,100.2,2.58,3570.23,91.84,[0LB 0I 5RG],50.0,[0LB 1I 4RG],35.71,0.0,No
3,阿尔忒弥斯丶,范沃森,CN,2022-07-25 08:41:21,1m 28s,4w2QdDpFHkjvKz8M,https://classic.warcraftlogs.com/reports/4w2QdDpFHkjvKz8M?fight=40&source=9&type=healing,3698.53,417,337,751,649,6,1,1,0,1,3,13290.16,Yes,2,No,Yes,Redeemer's Alchemist Stone,Essence of the Martyr,9.68,30.59,0.83,0,0.0,3520.31,95.18,[0LB 0I 5RG],71.43,[0LB 0I 4RG],14.29,0.0,No
4,鶺鴒鳥,维希度斯,CN,2022-07-02 08:26:00,1m 24s,T7JR4FqXgjNwcVGr,https://classic.warcraftlogs.com/reports/T7JR4FqXgjNwcVGr?fight=65&source=225&type=healing,3550.4,349,349,796,672,6,1,1,1,1,2,16513.86,Yes,1,No,Yes,Glimmering Naaru Sliver,Redeemer's Alchemist Stone,19.41,167.2,4.71,26.2,0.74,2842.72,80.07,[0LB 0I 5RG],36.36,[0LB 1I 4RG],36.36,0.0,No
5,祭随,雷德,CN,2022-07-16 08:48:09,1m 8s,86XBcjtpgvACQDHr,https://classic.warcraftlogs.com/reports/86XBcjtpgvACQDHr?fight=37&source=33&type=healing,3545.96,387,387,756,633,5,1,1,0,1,2,14145.0,Yes,1,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,90.45,627.03,17.68,114.96,3.24,2591.72,73.09,[1LB 0I 3RG],30.77,[1LB 0I 4RG],15.38,84.62,Yes
6,阿基蕾拉,碧空之歌,CN,2022-07-14 08:25:34,1m 19s,YNbj7AD1WPrzqVXv,https://classic.warcraftlogs.com/reports/YNbj7AD1WPrzqVXv?fight=28&source=19&type=healing,3465.52,570,250,728,635,6,1,1,0,1,3,13503.54,Yes,2,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,8.81,25.5,0.74,54.67,1.58,3283.18,94.74,[0LB 0I 5RG],81.82,[0LB 3I 2RG],9.09,0.0,No
7,阿基蕾拉,碧空之歌,CN,2022-08-18 07:52:59,1m 41s,Hvj9BazdXWbwVK6x,https://classic.warcraftlogs.com/reports/Hvj9BazdXWbwVK6x?fight=16&source=17&type=healing,3455.56,315,315,819,675,6,1,1,0,1,3,14364.62,No,1,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,8.16,40.75,1.18,0,0.0,3042.64,88.05,[0LB 0I 5RG],53.85,[0LB 1I 4RG],23.08,0.0,No
8,阿基蕾拉,碧空之歌,CN,2022-08-04 07:59:13,1m 25s,1WytKfMwLZca9DPC,https://classic.warcraftlogs.com/reports/1WytKfMwLZca9DPC?fight=5&source=1&type=healing,3453.16,315,315,819,675,6,1,1,0,1,3,13332.67,Yes,1,No,Yes,Scarab of the Infinite Cycle,Redeemer's Alchemist Stone,0,0,0.0,32.24,0.93,3268.33,94.65,[0LB 0I 5RG],69.23,[0LB 1I 4RG],15.38,0.0,No
9,荷西,寒脊山小径,CN,2022-06-30 22:05:27,1m 25s,D8kRHnV7bZBQWavJ,https://classic.warcraftlogs.com/reports/D8kRHnV7bZBQWavJ?fight=15&source=2&type=healing,3425.25,299,299,788,662,6,1,1,0,1,3,12356.84,Yes,1,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,9.63,40.35,1.18,0,0.0,3362.07,98.16,[0LB 0I 5RG],75.0,[0LB 1I 4RG],16.67,0.0,No
10,小托马斯,雷德,CN,2022-07-09 07:29:40,1m 29s,KVCMP1w8vzAWXqgm,https://classic.warcraftlogs.com/reports/KVCMP1w8vzAWXqgm?fight=15&source=22&type=healing,3418.23,301,301,678,669,6,1,1,1,1,2,13817.04,Yes,1,No,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,13.11,83.61,2.45,318.44,9.32,2907.55,85.06,[0LB 1I 4RG],50.0,[0LB 0I 5RG],25.0,0.0,No
